#hmm_acc	iso_type	hmm_name	hmm_com_name	hmm_len	trusted_cutoff	noise_cutoff	trusted_cutoff2	noise_cutoff2
PF04567	PFAM	RNA_pol_Rpb2_5	RNA polymerase Rpb2, domain 5	71	25.10	24.10	25.10	24.10
PF04568	PFAM	IATP	Mitochondrial ATPase inhibitor, IATP	68	30.80	22.40	30.80	22.40
PF04569	PFAM	DUF591	Protein of unknown function	96	25.00	24.20	25.00	24.20
PF04570	PFAM	DUF581	Protein of unknown function (DUF581)	59	-3.00	-5.40	-3.00	-5.40
PF04571	PFAM	Lipin_N	lipin, N-terminal conserved region	115	34.00	-6.50	34.00	-6.50
PF04572	PFAM	Gb3_synth	Alpha 1,4-glycosyltransferase conserved region	148	50.70	8.60	50.70	8.60
PF04573	PFAM	SPC22	Signal peptidase subunit	185	34.50	23.80	34.50	23.80
PF04574	PFAM	DUF592	Protein of unknown function (DUF592)	177	185.70	8.20	185.70	8.20
PF04575	PFAM	DUF560	Protein of unknown function (DUF560)	49	25.30	24.40	25.30	24.40
PF04576	PFAM	DUF593	Protein of unknown function, DUF593	94	32.70	12.70	32.70	12.70
PF04577	PFAM	DUF563	Protein of unknown function (DUF563)	283	61.80	19.40	61.80	19.40
PF04578	PFAM	DUF594	Protein of unknown function, DUF594	62	27.30	23.90	27.30	23.90
PF04579	PFAM	Keratin_matx	Keratin, high-sulphur matrix protein	98	118.70	-4.20	118.70	-4.20
PF04580	PFAM	Pox_D3	Chordopoxvirinae D3 protein	279	164.00	-31.00	164.00	-31.00
PF04581	PFAM	DUF578	Protein of unknown function (DUF578)	230	415.40	-120.20	415.40	-120.20
PF04582	PFAM	Reo_sigmaC	Reovirus sigma C capsid protein	326	-69.10	-139.70	-69.10	-139.70
PF04583	PFAM	Baculo_p74	Baculoviridae p74 conserved region	261	53.10	-32.70	53.10	-32.70
PF04584	PFAM	Pox_A28	Poxvirus A28 family	147	82.60	-78.50	82.60	-78.50
PF04585	PFAM	TrbF	Conjugal transfer protein	225	117.20	-54.30	117.20	-54.30
PF04586	PFAM_equivalog	Peptidase_U35	caudovirus prohead protease	183	-20.20	-27.70	-20.20	-27.70
PF04587	PFAM	ADP_PFK_GK	ADP-specific Phosphofructokinase/Glucokinase conserved region	500	46.60	21.70	46.60	21.70
PF04588	PFAM	HIG_1_N	Hypoxia induced protein conserved region	73	-4.90	-5.30	-4.90	-5.30
PF04589	PFAM	RFX1_trans_act	RFX1 transcription activation region	168	56.60	24.70	56.60	24.70
PF04590	PFAM	DUF595	Protein of unknown function, DUF595	257	-70.60	-111.30	-70.60	-111.30
PF04591	PFAM	DUF596	Protein of unknown function, DUF596	77	15.40	-3.70	15.40	-3.70
PF04592	PFAM	SelP_N	Selenoprotein P, N terminal region	239	84.90	-110.70	84.90	-110.70
PF04593	PFAM	SelP_C	Selenoprotein P, C terminal region	133	26.50	-10.30	26.50	-10.30
PF04594	PFAM	Cnd1	Non-SMC condensin subunit, XCAP-D2/Cnd1	1253	403.90	-277.70	403.90	-277.70
PF04595	PFAM	Pox_I6	Poxvirus I6-like family	355	-92.00	-183.20	-92.00	-183.20
PF04596	PFAM	Pox_F15	Poxvirus protein F15	137	48.30	-93.70	48.30	-93.70
PF04597	PFAM	Ribophorin_I	Ribophorin I	469	-202.90	-232.60	-202.90	-232.60
PF04598	PFAM	Gasdermin	gasdermin family	509	29.90	-45.30	29.90	-45.30
PF04599	PFAM	Pox_G5	Poxvirus G5 protein	557	-201.40	-216.30	-201.40	-216.30
PF04600	PFAM	DUF571	Protein of unknown function (DUF571)	523	42.20	11.20	42.20	11.20
PF04601	PFAM	DUF569	Protein of unknown function (DUF569)	147	-46.10	-49.90	-46.10	-49.90
PF04602	PFAM	Arabinose_trans	Mycobacterial cell wall arabinan synthesis protein	1126	1156.80	0.00	1156.80	0.00
PF04603	PFAM	Mog1	Ran-interacting Mog1 protein	147	33.70	23.70	33.70	23.70
PF04604	PFAM	L_biotic_typeA	Type-A lantibiotic	49	56.40	14.90	56.40	14.90
PF04605	PFAM	VapD	Virulence-associated protein D (VapD) conserved region	131	76.50	-12.70	76.50	-12.70
PF04606	PFAM_equivalog	Ogr_Delta	phage transcriptional activator, Ogr/Delta	49	15.90	15.10	15.90	15.10
PF04607	PFAM	RelA_SpoT	RelA/SpoT domain protein	131	-1.70	-8.50	-1.70	-8.50
PF04608	PFAM_equivalog	PgpA	phosphatidylglycerophosphatase A	164	-36.60	-41.50	-36.60	-41.50
PF04609	PFAM	MCR_C	Methyl-coenzyme M reductase operon protein C	186	131.50	-55.70	131.50	-55.70
PF04610	PFAM	TrbL	TrbL/VirB6 plasmid conjugal transfer protein	285	6.30	5.30	6.30	5.30
PF04611	PFAM	AalphaY_MDB	Mating type protein AalphaY mating type dependent binding region	149	383.10	-85.60	383.10	-85.60
PF04612	PFAM	GspM	general secretion pathway protein M	165	25.40	24.00	25.40	24.00
PF04613	PFAM_equivalog_domain	LpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD	74	14.50	11.00	14.50	11.00
PF04614	PFAM	Pex19	Pex19 protein family	318	33.70	12.50	33.70	12.50
PF04615	PFAM	Utp14	Utp14 protein	809	65.90	6.20	65.90	6.20
PF04616	PFAM	Glyco_hydro_43	glycosyl hydrolase, family 43	334	-88.20	-88.70	-88.20	-88.70
PF04617	PFAM	Hox9_act	Hox9 activation region	205	30.60	-7.10	30.60	-7.10
PF04618	PFAM	HD-ZIP_N	HD-ZIP protein N terminus	157	53.80	19.70	53.80	19.70
PF04619	PFAM	Adhesin_Dr	Dr-family adhesin	146	218.50	-54.50	218.50	-54.50
PF04620	PFAM	FlaA	Flagellar filament outer layer protein FlaA	268	123.30	21.80	123.30	21.80
PF04621	PFAM	ETS_PEA3_N	PEA3 subfamily ETS-domain transcription factor N terminus	411	38.00	-18.60	38.00	-18.60
PF04622	PFAM	ERG2_Sigma1R	ERG2 and Sigma1 receptor like protein	229	122.90	-25.40	122.90	-25.40
PF04623	PFAM	Adeno_E1B_55K_N	Adenovirus E1B protein N-terminus	73	30.60	27.40	30.60	27.40
PF04624	PFAM	Dec-1	Dec-1 repeat	31	68.20	14.20	27.90	24.60
PF04625	PFAM	DEC-1_N	DEC-1 protein, N terminal region	410	176.40	-130.70	176.40	-130.70
PF04626	PFAM	DEC-1_C	Dec-1 protein, C terminal region	135	94.60	-30.20	94.60	-30.20
PF04627	PFAM	ATP-synt_Eps	Mitochondrial ATP synthase epsilon chain	50	26.90	23.80	26.90	23.80
PF04628	PFAM	Sedlin_N	Sedlin, N-terminal conserved region	163	-22.00	-22.40	-22.00	-22.40
PF04629	domain	ICA69	Islet cell autoantigen ICA69, C-terminal domain	291	78.60	-16.30	78.60	-16.30
PF04630	PFAM_equivalog	Phage_tail	phage major tail protein	240	57.60	4.90	57.60	4.90
PF04631	PFAM	Baculo_44	Baculovirus hypothetical protein	376	80.40	22.10	80.40	22.10
PF04632	PFAM	FUSC	Fusaric acid resistance protein conserved region	120	25.40	23.70	25.40	23.70
PF04633	PFAM	Herpes_BMRF2	Herpesvirus BMRF2 protein	354	358.60	-180.50	358.60	-180.50
PF04634	PFAM	DUF600	Protein of unknown function, DUF600	152	66.00	3.50	66.00	3.50
PF04635	PFAM	DUF598	Protein of unknown function, DUF598	126	61.30	3.80	61.30	3.80
PF04636	PFAM	PA26	PA26 p53-induced protein (sestrin)	522	53.40	-33.70	53.40	-33.70
PF04637	PFAM	Herpes_pp85	Herpesvirus phosphoprotein 85 (HHV6-7 U14/HCMV UL25)	541	26.60	-229.30	26.60	-229.30
PF04638	PFAM	Pox_O1	Pox virus protein O1	807	52.90	6.50	52.90	6.50
PF04639	PFAM	Baculo_E56	Baculoviral E56 protein, specific to ODV envelope	321	220.20	-30.70	220.20	-30.70
PF04640	PFAM	PLATZ	Protein of unknown function, DUF597	115	22.70	-26.60	22.70	-26.60
PF04641	PFAM	DUF602	Protein of unknown function, DUF602	304	28.80	23.10	28.80	23.10
PF04642	PFAM	DUF601	Protein of unknown function, DUF601	314	508.50	-147.50	508.50	-147.50
PF04643	PFAM	Motilin_assoc	Motilin/ghrelin-associated peptide	64	34.90	16.70	34.90	16.70
PF04644	PFAM	Motilin_ghrelin	Motilin/ghrelin	28	22.60	20.40	22.60	20.40
PF04645	PFAM	DUF603	Protein of unknown function, DUF603	187	59.20	-30.10	59.20	-30.10
PF04646	PFAM	DUF604	Protein of unknown function, DUF604	283	112.40	-39.90	112.40	-39.90
PF04647	PFAM	AgrB	accessory gene regulator protein B	204	-22.30	-22.40	-22.30	-22.40
PF04648	PFAM	MF_alpha	Yeast mating factor alpha hormone	13	50.50	18.70	29.80	24.60
PF04649	PFAM	VlpA_repeat	Mycoplasma hyorhinis VlpA repeat	13	26.30	23.00	27.60	12.40
PF04650	domain	YSIRK_signal	YSIRK type signal peptide	27	19.00	18.40	19.00	18.40
PF04651	PFAM	Pox_A12	Poxvirus A12 protein	213	51.70	-73.70	51.70	-73.70
PF04652	PFAM	DUF605	Protein of unknown function, DUF605	490	52.00	8.40	52.00	8.40
PF04653	PFAM	Nin1_C	26S proteasome non-ATPase regulatory subunit Nin1/mts3	183	110.50	-68.10	110.50	-68.10
PF04654	PFAM	DUF599	Protein of unknown function, DUF599	235	73.60	-13.90	73.60	-13.90
PF04655	PFAM	APH_6_hur	Aminoglycoside/hydroxyurea antibiotic resistance kinase	271	40.80	10.10	40.80	10.10
PF04656	PFAM	Pox_E6	Pox virus E6 protein	571	-294.70	-398.00	-294.70	-398.00
PF04657	PFAM	DUF606	Protein of unknown function, DUF606	144	25.10	24.70	26.00	24.70
PF04658	PFAM	TAFII55_N	TAFII55 protein conserved region	215	33.20	22.20	33.20	22.20
PF04659	PFAM	Arch_fla_DE	Archaeal flagella protein	111	61.40	-33.30	61.40	-33.30
PF04660	PFAM	Nanovirus_coat	Nanovirus coat protein	175	93.90	-67.90	93.90	-67.90
PF04661	PFAM	Pox_I3	Poxvirus I3 ssDNA-binding protein	292	281.10	-122.40	281.10	-122.40
PF04662	PFAM	Luteo_PO	Luteovirus P0 protein	234	296.10	2.00	296.10	2.00
PF04663	PFAM	Phenol_monoox	Phenol hydroxylase conserved region	67	82.00	-6.80	82.00	-6.80
PF04664	PFAM	OGFr_N	Opioid growth factor receptor (OGFr) conserved region	225	-75.30	-83.00	-75.30	-83.00
PF04665	PFAM	Pox_A32	Poxvirus A32 protein	258	81.20	-92.20	81.20	-92.20
PF04666	PFAM	Glyco_transf_54	N-Acetylglucosaminyltransferase-IV (GnT-IV) conserved region	314	56.70	-110.60	56.70	-110.60
PF04667	PFAM	Endosulfine	cAMP-regulated phosphoprotein/endosulfine conserved region	123	29.30	23.20	29.30	23.20
PF04668	PFAM	Tsg	Twisted gastrulation (Tsg) protein conserved region	144	96.60	-46.50	96.60	-46.50
PF04669	PFAM	DUF579	Protein of unknown function (DUF579)	259	214.40	-138.20	214.40	-138.20
PF04670	PFAM	Gtr1_RagA	Gtr1/RagA G protein conserved region	238	-34.30	-85.10	-34.30	-85.10
PF04671	PFAM	Ag332	Erythrocyte membrane-associated giant protein antigen 332	22	30.10	24.60	8.40	16.10
PF04672	PFAM	DUF574	Protein of unknown function (DUF574)	283	-158.80	-169.00	-158.80	-169.00
PF04673	PFAM	Cyclase_polyket	Polyketide synthesis cyclase	98	110.90	7.70	44.00	7.70
PF04674	PFAM	Phi_1	Phosphate-induced protein 1 conserved region	324	85.80	5.40	85.80	5.40
PF04675	PFAM	DNA_ligase_A_N	DNA ligase N terminus	190	-52.80	-56.40	-52.80	-56.40
PF04676	PFAM	CwfJ_C_2	Protein similar to CwfJ C-terminus 2	116	26.50	19.40	26.50	19.40
PF04677	PFAM	CwfJ_C_1	Protein similar to CwfJ C-terminus 1	145	-31.30	-31.80	-31.30	-31.80
PF04678	PFAM	DUF607	Protein of unknown function, DUF607	237	61.80	23.00	61.80	23.00
PF04679	PFAM	DNA_ligase_A_C	ATP dependent DNA ligase C terminal region	70	10.70	8.60	10.70	8.60
PF04680	PFAM	OGFr_III	Opioid growth factor receptor repeat	20	230.70	33.20	36.80	17.70
PF04681	PFAM	Bys1	Blastomyces yeast-phase-specific protein	155	28.00	23.20	28.00	23.20
PF04682	PFAM	Herpes_BTRF1	Herpesvirus BTRF1 protein conserved region	280	-64.80	-142.40	-64.80	-142.40
PF04683	PFAM	ARM_1	Adhesion regulating molecule conserved region	408	29.00	12.90	29.00	12.90
PF04684	PFAM	BAF1_ABF1	BAF1 / ABF1 chromatin reorganising factor	508	178.90	-171.60	178.90	-171.60
PF04685	PFAM	DUF608	Protein of unknown function, DUF608	443	-131.60	-143.70	-131.60	-143.70
PF04686	PFAM	SsgA	Streptomyces sporulation and cell division protein, SsgA	110	40.40	-25.10	40.40	-25.10
PF04687	PFAM	Microvir_H	Microvirus H protein (pilot protein)	332	670.40	-152.50	670.40	-152.50
PF04688	PFAM	Phage_holin	Phage lysis protein, holin	54	25.50	18.00	25.50	18.00
PF04689	PFAM	S1FA	DNA binding protein S1FA	71	125.60	19.40	125.60	19.40
PF04690	PFAM	YABBY	YABBY protein	191	32.40	-40.20	32.40	-40.20
PF04691	PFAM	ApoC-I	Apolipoprotein C-I (ApoC-1)	61	25.70	17.50	25.70	17.50
PF04692	PFAM	PDGF_N	Platelet-derived growth factor, N terminal region	79	37.20	15.00	37.20	15.00
PF04693	PFAM	Transposase_29	Archaeal putative transposase ISC1217	327	-27.30	-41.90	-27.30	-41.90
PF04694	PFAM	Corona_3	Coronavirus ORF3 protein	60	38.30	9.40	38.30	9.40
PF04695	PFAM	Pex14_N	Peroxisomal membrane anchor protein (Pex14p) conserved region	130	-27.10	-31.20	-27.10	-31.20
PF04696	PFAM	Pinin_SDK_memA	pinin/SDK/memA/ protein conserved region	132	-16.00	-18.60	-16.00	-18.60
PF04697	PFAM	Pinin_SDK_N	pinin/SDK conserved region	137	249.80	-2.80	249.80	-2.80
PF04698	PFAM	MOBP	Myelin-associated oligodendrocytic basic protein (MOBP)	69	27.20	6.20	27.20	6.20
PF04699	PFAM	P16-Arc	ARP2/3 complex 16 kDa subunit (p16-Arc)	154	34.50	18.80	34.50	18.80
PF04700	PFAM	Baculo_gp41	Structural glycoprotein p40/gp41 conserved region	262	53.00	3.50	53.00	3.50
PF04701	PFAM	Pox_D2	Pox virus D2 protein	160	41.70	5.10	41.70	5.10
PF04702	PFAM	Vicilin_N	Vicilin N terminal region	183	29.70	-39.70	29.70	-39.70
PF04703	PFAM	FaeA	FaeA-like protein	71	10.80	8.40	10.80	8.40
PF04704	PFAM	Zfx_Zfy_act	Zfx / Zfy transcription activation region	360	-127.00	-183.60	-127.00	-183.60
PF04705	PFAM	TSNR_N	Thiostrepton-resistance methylase, N terminus	115	265.50	-35.20	265.50	-35.20
PF04706	PFAM	Dickkopf_N	Dickkopf N-terminal cysteine-rich region	54	35.70	19.70	35.70	19.70
PF04707	PFAM	PRELI	PRELI-like family	164	-47.60	-61.10	-47.60	-61.10
PF04708	PFAM	Pox_F16	Poxvirus F16 protein	231	164.50	-79.90	164.50	-79.90
PF04709	PFAM	AMH_N	Anti-Mullerian hormone, N terminal region	530	-126.40	-159.90	-126.40	-159.90
PF04710	PFAM	Pellino	Pellino	426	-45.30	-321.80	-45.30	-321.80
PF04711	PFAM	ApoA-II	Apolipoprotein A-II (ApoA-II)	76	174.60	-13.40	174.60	-13.40
PF04712	PFAM	Radial_spoke	Radial spokehead-like protein	619	25.00	23.20	25.00	23.20
PF04713	PFAM	Pox_I5	Poxvirus protein I5	78	34.10	-12.30	34.10	-12.30
PF04714	PFAM	BCL_N	BCL7, N-terminal conserver region	52	57.20	-1.10	57.20	-1.10
PF04715	domain	Anth_synt_I_N	Anthranilate synthase component I, N terminal region	158	25.50	24.30	25.50	24.30
PF04716	PFAM	ETC_C1_NDUFA5	ETC complex I subunit conserved region	58	25.40	20.00	25.40	20.00
PF04717	PFAM_equivalog	Phage_base_V	phage-related baseplate assembly protein	105	30.90	23.20	30.90	23.20
PF04718	PFAM	ATP-synt_G	Mitochondrial ATP synthase g subunit	120	-6.00	-14.40	-6.00	-14.40
PF04719	PFAM	TAFII28	hTAFII28-like protein conserved region	99	32.90	24.80	32.90	24.80
PF04720	PFAM	DUF506	Protein of unknown function (DUF506)	242	56.90	-25.60	56.90	-25.60
PF04721	PFAM	DUF750	PNGase-like conserved region	72	26.00	-0.30	26.00	1.10
PF04722	PFAM	Ssu72	Ssu72-like protein	203	80.70	-136.60	80.70	-136.60
PF04723	PFAM	GRDA	glycine reductase complex selenoprotein A	150	76.20	-10.80	76.20	-10.80
PF04724	PFAM	Glyco_transf_17	glycosyltransferase family 17	404	542.40	9.70	542.40	9.70
PF04725	PFAM	PsbR	Photosystem II 10 kDa polypeptide PsbR	113	168.00	-9.60	168.00	-9.60
PF04726	PFAM	Microvir_J	Microvirus J protein	37	33.10	15.20	33.10	11.70
PF04727	PFAM	ELMO_CED12	ELMO/CED-12 family	184	27.10	24.90	27.10	24.90
PF04728	PFAM	LPP	Repeated sequence found in lipoprotein LPP	11	14.30	14.10	14.60	12.50
PF04729	PFAM	Anti-silence	Anti-silencing protein, ASF1-like	161	34.30	10.60	34.30	10.60
PF04730	PFAM	Agro_virD5	Agrobacterium VirD5 protein	780	242.30	0.00	242.30	0.00
PF04731	PFAM	Caudal_act	Caudal like protein activation region	189	46.20	-6.30	46.20	-6.30
PF04732	PFAM	Filament_head	Intermediate filament head (DNA binding) region	95	26.80	16.90	26.80	16.90
PF04733	PFAM	Coatomer_E	Coatomer epsilon subunit	294	-92.40	-98.50	-92.40	-98.50
PF04734	PFAM	Ceramidase_alk	Neutral/alkaline nonlysosomal ceramidase	771	69.70	-147.20	69.70	-147.20
PF04735	PFAM	Baculo_helicase	Baculovirus DNA helicase	1331	538.40	-348.70	538.40	-348.70
PF04736	PFAM	Eclosion	Eclosion hormone	62	8.70	-7.30	8.70	-7.30
PF04737	PFAM	Lant_dehyd_N	Lantibiotic dehydratase, N terminus	153	15.00	1.30	15.00	1.30
PF04738	PFAM	Lant_dehyd_C	Lantibiotic dehydratase, C terminus	551	-145.70	-163.90	-145.70	-163.90
PF04739	PFAM	AMPKBI	5'-AMP-activated protein kinase, beta subunit, complex-interacting region	133	30.50	11.70	30.50	11.70
PF04740	PFAM	Transposase_30	Bacillus transposase protein	254	26.60	-18.90	26.60	-18.90
PF04741	PFAM	InvH	InvH outer membrane lipoprotein	147	398.20	-21.80	398.20	-21.80
PF04742	PFAM	DUF611	Protein of unknown function, DUF611	865	1284.50	-233.70	1284.50	-233.70
PF04743	PFAM	BSRF1	BSRF1-like protein	160	385.70	-118.20	385.70	-118.20
PF04744	PFAM	Monooxygenase_B	Monooxygenase subunit B protein	388	96.70	1.90	96.70	1.90
PF04745	PFAM	Pox_A8	VITF-3 subunit protein	295	225.50	-171.00	225.50	-171.00
PF04746	PFAM	DUF575	Protein of unknown function (DUF575)	101	108.90	-50.10	108.90	-50.10
PF04747	PFAM	DUF612	Protein of unknown function, DUF612	517	892.70	-152.10	892.70	-152.10
PF04748	PFAM	Polysacc_deac_2	Divergent polysaccharide deacetylase	221	29.00	17.80	29.00	17.80
PF04749	PFAM	PLAC8	PLAC8 family	147	4.10	-2.30	4.10	-2.30
PF04750	PFAM	Far-17a_AIG1	FAR-17a/AIG1-like protein	184	77.90	-25.10	77.90	-25.10
PF04751	PFAM	DUF615	Protein of unknown function (DUF615)	182	43.20	20.00	43.20	20.00
PF04752	PFAM	ChaC	ChaC-like protein	210	-68.80	-72.60	-68.80	-72.60
PF04753	PFAM	Corona_NS2	Coronavirus non-structural protein NS2	109	187.60	-31.90	187.60	-31.90
PF04754	PFAM	Transposase_31	Putative transposase, YhgA-like	291	28.90	15.90	28.90	15.90
PF04755	PFAM	PAP_fibrillin	PAP/fibrillin family	236	29.10	24.20	29.10	24.20
PF04756	PFAM	OST3_OST6	OST3 / OST6 family	359	-109.90	-136.50	-109.90	-136.50
PF04757	PFAM	Pex2_Pex12	Pex2 / Pex12 amino terminal region	287	-42.00	-53.10	-42.00	-53.10
PF04758	PFAM	Ribosomal_S30	Ribosomal protein S30	59	27.30	24.50	27.30	24.50
PF04759	PFAM	DUF617	Protein of unknown function, DUF617	184	71.00	-101.80	71.00	-101.80
PF04760	PFAM	IF2_N	Translation initiation factor IF-2, N-terminal region	53	25.10	24.40	25.10	24.90
PF04761	PFAM	Phage_Treg	Lactococcus bacteriophage putative transcription regulator	58	134.60	0.00	134.60	0.00
PF04762	PFAM	IKI3	IKI3 family	1093	234.90	165.20	234.90	165.20
PF04763	PFAM	DUF562	Protein of unknown function (DUF562)	154	297.70	-49.70	297.70	-49.70
PF04764	PFAM	DUF613	Protein of unknown function (DUF613)	148	-4.60	-44.90	-4.60	-44.90
PF04765	PFAM	DUF616	Protein of unknown function (DUF616)	341	83.10	-79.40	83.10	-79.40
PF04766	PFAM	Baculo_p26	Nucleopolyhedrovirus p26 protein	260	38.10	-96.10	38.10	-96.10
PF04767	PFAM	Pox_F17	DNA-binding 11 kDa phosphoprotein	103	-0.50	-18.70	-0.50	-18.70
PF04768	PFAM	DUF619	Protein of unknown function (DUF619)	228	27.20	-19.80	27.20	-19.80
PF04769	PFAM	MAT_Alpha1	Mating-type protein MAT alpha 1	214	7.30	-21.50	7.30	-21.50
PF04770	PFAM	ZF-HD_dimer	ZF-HD protein dimerisation region	62	32.40	-1.90	32.40	-1.90
PF04771	PFAM	CAV_VP3	Chicken anaemia virus VP-3 protein	121	72.00	-18.40	72.00	-18.40
PF04772	PFAM	Flu_B_M2	Influenza B matrix protein 2 (BM2)	109	294.40	-5.20	294.40	-5.20
PF04773	domain	FecR	sigma factor regulatory protein, FecR/PupR family	105	31.40	29.30	31.40	29.30
PF04774	PFAM	HABP4_PAI-RBP1	Hyaluronan / mRNA binding family	127	27.20	23.90	27.20	23.90
PF04775	PFAM	Bile_Hydr_Trans	Acyl-CoA thioester hydrolase / Bile acid-CoA amino acid N-acetyltransferase	156	34.70	23.20	34.70	23.20
PF04776	PFAM	DUF626	Protein of unknown function (DUF626)	135	42.40	4.30	42.40	4.30
PF04777	PFAM	Evr1_Alr	Erv1 / Alr family	98	-2.90	-7.90	-2.90	-7.90
PF04778	PFAM	LMP	LMP repeated region	158	483.60	-4.10	119.90	-4.10
PF04780	PFAM	DUF629	Protein of unknown function (DUF629)	468	69.90	17.80	69.90	17.80
PF04781	PFAM	DUF627	Protein of unknown function (DUF627)	126	29.60	10.20	29.60	10.20
PF04782	PFAM	DUF632	Protein of unknown function (DUF632)	361	25.00	-36.90	25.00	-36.90
PF04783	PFAM	DUF630	Protein of unknown function (DUF630)	60	30.80	5.00	30.80	5.00
PF04784	PFAM	DUF547	Protein of unknown function, DUF547	152	25.00	24.60	25.00	24.60
PF04785	PFAM	Rhabdo_M2	Rhabdovirus matrix protein M2	202	515.60	-58.10	515.60	-58.10
PF04786	PFAM	Baculo_DNA_bind	ssDNA binding protein	270	33.70	4.20	33.70	4.20
PF04787	PFAM	Pox_H7	Late protein H7	151	128.90	5.30	128.90	5.30
PF04788	PFAM	DUF620	Protein of unknown function (DUF620)	267	40.60	-40.50	40.60	-40.50
PF04789	PFAM	DUF621	Protein of unknown function (DUF621)	342	-81.20	-181.40	-81.20	-181.40
PF04790	PFAM	Sarcoglycan_1	Sarcoglycan complex subunit protein	288	45.10	-55.30	45.10	-55.30
PF04791	PFAM	LMBR1	LMBR1-like conserved region	640	-115.40	-117.30	-115.40	-117.30
PF04792	PFAM	LcrV	V antigen (LcrV) protein	326	30.50	24.90	30.50	24.90
PF04793	PFAM	Herpes_BBRF1	BRRF1-like protein	312	86.60	17.30	86.60	17.30
PF04794	PFAM	YdjC	YdjC-like protein	317	28.20	24.40	28.20	24.40
PF04795	PFAM	PAPA-1	PAPA-1-like conserved region	98	25.10	22.80	25.10	22.80
PF04796	PFAM	RepA_C	Plasmid encoded RepA protein	203	31.20	-7.90	31.20	-7.90
PF04797	PFAM	Herpes_ORF11	Herpesvirus dUTPase protein	428	262.50	-105.00	262.50	-105.00
PF04798	PFAM	Baculo_19	Baculovirus 19 kDa protein conserved region	152	25.20	22.90	25.20	22.90
PF04799	PFAM	Fzo_mitofusin	fzo-like conserved region	171	77.20	-72.90	77.20	-72.90
PF04800	PFAM	ETC_C1_NDUFA4	ETC complex I subunit conserved region	114	34.60	19.90	34.60	19.90
PF04801	PFAM	Sin_N	Sin-like protein conserved region	481	-127.70	-137.50	-127.70	-137.50
PF04802	PFAM	DUF625	Protein of unknown function (DUF625)	210	134.70	23.20	134.70	23.20
PF04803	PFAM	Cor1	Cor1/Xlr/Xmr conserved region	130	-17.40	-36.00	-17.40	-36.00
PF04804	PFAM	Bunya_NSM	Non-structural protein NSM	310	112.60	-136.70	112.60	-136.70
PF04805	PFAM	Pox_E10	E10-like protein conserved region	70	77.90	-8.80	77.90	-8.80
PF04806	PFAM	EspF	EspF protein	185	37.60	9.70	37.60	9.70
PF04807	PFAM	Gemini_AC4_5	geminivirus AC4/5 conserved region	33	56.90	10.40	56.90	10.40
PF04808	PFAM	CTV_P23	Citrus tristeza virus (CTV) P23 protein	209	450.00	-57.90	450.00	-57.90
PF04809	PFAM	HupH_C	HupH hydrogenase expression protein, C-terminal conserved region	123	31.90	12.70	31.90	12.70
PF04810	PFAM	zf-Sec23_Sec24	Sec23/Sec24 zinc finger	42	25.10	23.60	25.10	23.60
PF04811	domain	Sec23_trunk	Sec23/Sec24 trunk domain	279	-124.40	-127.40	-124.40	-127.40
PF04812	PFAM	HNF-1B_C	Hepatocyte nuclear factor 1 (HNF-1), beta isoform C terminus	264	-34.30	-54.50	-34.30	-54.50
PF04813	PFAM	HNF-1A_C	Hepatocyte nuclear factor 1 (HNF-1), alpha isoform C terminus	90	57.20	-3.60	57.20	-3.60
PF04814	PFAM	HNF-1_N	Hepatocyte nuclear factor 1 (HNF-1), N terminus	180	52.90	17.40	52.90	17.40
PF04815	domain	Sec23_helical	Sec23/Sec24 helical domain	108	-3.10	-6.40	-3.10	-6.40
PF04816	PFAM	DUF633	Family of unknown function (DUF633)	215	-48.30	-51.50	-48.30	-51.50
PF04817	PFAM	Umbravirus_LDM	Umbravirus long distance movement (LDM) family	232	142.30	-62.60	142.30	-62.60
PF04818	PFAM	DUF618	Protein of unknown function, DUF618	71	6.30	5.70	6.30	5.70
PF04819	PFAM	DUF716	Plant viral-response family	166	-2.20	-23.80	-2.20	-23.80
PF04820	PFAM	Trp_halogenase	Tryptophan halogenase	507	-283.20	-283.30	-283.20	-283.30
PF04821	PFAM	TIMELESS	Timeless protein	387	-73.20	-109.30	-73.20	-109.30
PF04822	PFAM	DUF622	Protein of unknown function, DUF622	92	42.40	8.10	42.40	8.10
PF04823	PFAM	Herpes_UL49_2	Herpesvirus UL49 tegument protein	96	142.20	-29.80	142.20	-29.80
PF04824	PFAM	Rad21_Rec8	Conserved region of Rad21 / Rec8 like protein	55	11.10	8.10	11.10	8.10
PF04825	PFAM	Rad21_Rec8_N	N terminus of Rad21 / Rec8 like protein	136	32.80	-4.70	32.80	-4.70
PF04826	PFAM	DUF634	Protein of unknown function (DUF634)	264	-36.90	-118.10	-36.90	-118.10
PF04827	PFAM	Plant_tran	Protein of unknown function (DUF635)	112	-2.60	-6.70	-2.60	-6.70
PF04828	PFAM	GFA	glutathione-dependent formaldehyde-activating enzyme	99	12.70	12.30	12.70	12.30
PF04829	PFAM	DUF638	Possible hemagglutinin (DUF638)	53	30.40	17.00	30.40	17.00
PF04830	PFAM	DUF637	Possible hemagglutinin (DUF637)	177	28.80	10.30	28.80	10.30
PF04831	PFAM	Popeye	Popeye protein conserved region	154	44.50	-4.50	44.50	-4.50
